! first line is a count of cells
1024
! then [x,y,z] position of each cell
! and amplitude and phase
! default units for position are model units
! default units for amplitude is Volts
! default units for phase is radians
475.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	26.089456deg
500.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	153.512824deg
525.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	115.519184deg
500.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	98.174261deg
525.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	60.180621deg
500.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	42.835698deg
525.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	4.842058deg
500.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	-12.502865deg
525.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	-50.496505deg
500.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	-67.841428deg
525.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	-105.835068deg
500.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	-123.179991deg
525.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	-161.173631deg
500.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-178.518554deg
525.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	143.487806deg
500.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	126.142883deg
